Team Name,University,Team ID,Coach,ICPC Status
IIUC _Optimus,International Islamic University Chittagong,1111449,Mohammed Shamsul Alam,ACCEPTED
IIUC_ThreeFumblers,International Islamic University Chittagong,1111448,Mohammed Shamsul Alam,ACCEPTED
CPnators,International Islamic University Chittagong,1111429,Mohammed Shamsul Alam,ACCEPTED
IIUC_StrawHats,International Islamic University Chittagong,1111421,Mohammed Shamsul Alam,ACCEPTED
DoctorCoding,International Islamic University Chittagong,1112105,Tanveer Ahsan,ACCEPTED
Lexical Poets,International Islamic University Chittagong,1112104,Tanveer Ahsan,ACCEPTED
IIUC_MangoCoders,International Islamic University Chittagong,1112103,Tanveer Ahsan,ACCEPTED
IIUC_RAW,International Islamic University Chittagong,1112102,Tanveer Ahsan,ACCEPTED
Newbies,International Islamic University Chittagong,1112101,Tanveer Ahsan,ACCEPTED
Data Pirates,International Islamic University Chittagong,1112100,Tanveer Ahsan,ACCEPTED
IIUC_BigO,International Islamic University Chittagong,1112099,Tanveer Ahsan,ACCEPTED
Complexity Zero,International Islamic University Chittagong,1112098,Tanveer Ahsan,ACCEPTED
IIUC_MiskinShomiti,International Islamic University Chittagong,1112097,Tanveer Ahsan,ACCEPTED
WHY-IIUC,International Islamic University Chittagong,1112095,Tanveer Ahsan,ACCEPTED
IIUC_LastHope,International Islamic University Chittagong,1112094,Tanveer Ahsan,ACCEPTED
IIUC_Brute-forcers,International Islamic University Chittagong,1111473,Tanveer Ahsan,ACCEPTED
The Recursives,International Islamic University Chittagong,1112180,Jamil As-ad,ACCEPTED
Binary Brain,International Islamic University Chittagong,1112179,Jamil As-ad,ACCEPTED
Exceedo_Genesis_IIUC,International Islamic University Chittagong,1112358,Jamil As-ad,ACCEPTED
Black Bird,International Islamic University Chittagong,1112186,Jamil As-ad,ACCEPTED
RuntimeErrror,International Islamic University Chittagong,1111435,Jamil As-ad,ACCEPTED
IIUC_return_0,International Islamic University Chittagong,1111433,Jamil As-ad,ACCEPTED
IIUC_infinityloop,International Islamic University Chittagong,1111407,Jamil As-ad,ACCEPTED
EclipseCoders,International Islamic University Chittagong,1111436,Jamil As-ad,ACCEPTED
IIUCxNoob,International Islamic University Chittagong,1111400,Jamil As-ad,ACCEPTED
sorry_IIUC,International Islamic University Chittagong,1111535,Tanveer Ahsan,ACCEPTED
IIUC_SP3ECTRUM,International Islamic University Chittagong,1111432,Jamil As-ad,ACCEPTED
IIUC_MARK_US,International Islamic University Chittagong,1111431,Jamil As-ad,ACCEPTED
